0 0 0
1 3500 8192
2 3743 8192
3 5043 8192
4 7943 8192
5 8443 16384
6 9343 16384
7 9603 16384
8 6103 16384
9 6429 16384
10 6186 16384
11 6296 16384
12 6515 16384
13 6405 16384
14 5105 16384
15 2205 16384
16 2225 16384
17 2255 16384
18 2271 16384
19 2295 16384
20 2361 16384
21 2446 16384
22 2546 16384
23 2636 16384
24 2680 16384
25 2746 16384
26 2246 16384
27 1346 16384
28 1086 16384
29 760 16384
30 541 16384
31 511 16384
32 487 16384
33 467 16384
34 451 16384
35 385 16384
36 300 16384
37 200 16384
38 110 16384
39 66 16384
40 0 8192
